"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14773","Learn CheckBoxes","chromium","Tue Dec 24 13:04:14 IST 2024","passed","Tue Dec 24 13:04:29 IST 2024","","tests-examples\checkBoxes.spec.js","",""
"","5423","should trim entered text","firefox","Tue Dec 24 13:06:10 IST 2024","passed","Tue Dec 24 13:06:15 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","1928","Hard Assertion learn","chromium","Tue Dec 24 13:04:47 IST 2024","passed","Tue Dec 24 13:04:49 IST 2024","","tests-examples\HardAssertions.spec.js","",""
"","2392","should remove the item if an empty text string was entered","firefox","Tue Dec 24 13:06:06 IST 2024","passed","Tue Dec 24 13:06:09 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","2776","should allow me to display completed items","webkit","Tue Dec 24 13:07:58 IST 2024","passed","Tue Dec 24 13:08:00 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","892","should display the correct text","chromium","Tue Dec 24 13:04:38 IST 2024","passed","Tue Dec 24 13:04:39 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","26029","Radio and Checkbox Interaction","webkit","Tue Dec 24 13:08:42 IST 2024","failed","Tue Dec 24 13:09:08 IST 2024","","tests-examples\RadioBtn.spec.js","",""
"","4935","test","chromium","Tue Dec 24 13:05:13 IST 2024","passed","Tue Dec 24 13:05:18 IST 2024","","tests-examples\myTest.spec.js","",""
"","17871","Built in Locators","firefox","Tue Dec 24 13:05:45 IST 2024","passed","Tue Dec 24 13:06:03 IST 2024","","tests-examples\BuiltInLocators.spec.js","",""
"","2758","should allow me to display completed items","firefox","Tue Dec 24 13:06:15 IST 2024","passed","Tue Dec 24 13:06:17 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2367","should display the correct text","webkit","Tue Dec 24 13:07:54 IST 2024","passed","Tue Dec 24 13:07:56 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","9533","Radio and Checkbox Interaction","chromium","Tue Dec 24 13:05:19 IST 2024","failed","Tue Dec 24 13:05:28 IST 2024","","tests-examples\RadioBtn.spec.js","",""
"","1498","should allow me to mark all items as completed","firefox","Tue Dec 24 13:05:57 IST 2024","passed","Tue Dec 24 13:05:59 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","2701","complete all checkbox should update state when items are completed / cleared","webkit","Tue Dec 24 13:07:45 IST 2024","passed","Tue Dec 24 13:07:48 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","2234","should highlight the currently applied filter","webkit","Tue Dec 24 13:07:59 IST 2024","passed","Tue Dec 24 13:08:01 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2756","should remove completed items when clicked","webkit","Tue Dec 24 13:07:55 IST 2024","passed","Tue Dec 24 13:07:57 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","15975","Prompt with Ok and Cancel for test","webkit","Tue Dec 24 13:07:17 IST 2024","passed","Tue Dec 24 13:07:33 IST 2024","","tests-examples\alert.spec.js","",""
"","2436","Hard Assertion learn","webkit","Tue Dec 24 13:08:01 IST 2024","passed","Tue Dec 24 13:08:03 IST 2024","","tests-examples\HardAssertions.spec.js","",""
"","30042","DropDown","firefox","Tue Dec 24 13:06:17 IST 2024","broken","Tue Dec 24 13:06:47 IST 2024","","tests-examples\dropDown.spec.js","",""
"","1","Alert with Ok","webkit","Tue Dec 24 13:07:11 IST 2024","skipped","Tue Dec 24 13:07:11 IST 2024","","tests-examples\alert.spec.js","",""
"","30032","Interact with an anchor inside an iframe","chromium","Tue Dec 24 13:04:42 IST 2024","broken","Tue Dec 24 13:05:12 IST 2024","","tests-examples\findQuickData.spec.js","",""
"","1347","should hide other controls when editing","chromium","Tue Dec 24 13:04:36 IST 2024","passed","Tue Dec 24 13:04:37 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","2489","should allow me to clear the complete state of all items","chromium","Tue Dec 24 13:04:31 IST 2024","passed","Tue Dec 24 13:04:34 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","3374","should allow me to display all items","webkit","Tue Dec 24 13:07:58 IST 2024","passed","Tue Dec 24 13:08:01 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2957","has title","webkit","Tue Dec 24 13:07:06 IST 2024","passed","Tue Dec 24 13:07:09 IST 2024","","example.spec.js","",""
"","2066","should allow me to edit an item","chromium","Tue Dec 24 13:04:34 IST 2024","passed","Tue Dec 24 13:04:37 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","3268","should allow me to mark items as complete","chromium","Tue Dec 24 13:04:32 IST 2024","passed","Tue Dec 24 13:04:36 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","1072","should remove the item if an empty text string was entered","chromium","Tue Dec 24 13:04:37 IST 2024","passed","Tue Dec 24 13:04:38 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","522","Auto suggest Dropdown","chromium","Tue Dec 24 13:04:14 IST 2024","failed","Tue Dec 24 13:04:14 IST 2024","","tests-examples\autoSuggestDropdown.spec.js","",""
"","4751","has title","chromium","Tue Dec 24 13:04:08 IST 2024","passed","Tue Dec 24 13:04:13 IST 2024","","example.spec.js","",""
"","2851","Locating Multiple Elements","webkit","Tue Dec 24 13:08:31 IST 2024","passed","Tue Dec 24 13:08:34 IST 2024","","tests-examples\LocatingMultipleElements.spec.js","",""
"","2639","should cancel edits on escape","firefox","Tue Dec 24 13:06:08 IST 2024","passed","Tue Dec 24 13:06:11 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","1452","should respect the back button","chromium","Tue Dec 24 13:04:39 IST 2024","passed","Tue Dec 24 13:04:41 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2481","should cancel edits on escape","webkit","Tue Dec 24 13:07:52 IST 2024","passed","Tue Dec 24 13:07:55 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","2560","should hide other controls when editing","webkit","Tue Dec 24 13:07:51 IST 2024","passed","Tue Dec 24 13:07:53 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","30077","Bootstrap Multi Dropdown","firefox","Tue Dec 24 13:05:34 IST 2024","broken","Tue Dec 24 13:06:04 IST 2024","","tests-examples\bootstrapDropdown.spec.js","",""
"","13927","Built in Locators","chromium","Tue Dec 24 13:04:16 IST 2024","passed","Tue Dec 24 13:04:30 IST 2024","","tests-examples\BuiltInLocators.spec.js","",""
"","28517","Inout Box and learn Radio btn","webkit","Tue Dec 24 13:08:14 IST 2024","passed","Tue Dec 24 13:08:42 IST 2024","","tests-examples\inputBox.spec.js","",""
"","2658","should allow me to display all items","firefox","Tue Dec 24 13:06:16 IST 2024","passed","Tue Dec 24 13:06:18 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","3677","should persist its data","firefox","Tue Dec 24 13:06:11 IST 2024","passed","Tue Dec 24 13:06:15 IST 2024","Persistence","tests-examples\demo-todo-app.spec.js","",""
"","2641","complete all checkbox should update state when items are completed / cleared","chromium","Tue Dec 24 13:04:32 IST 2024","passed","Tue Dec 24 13:04:34 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","2895","Hard Assertion learn","firefox","Tue Dec 24 13:06:19 IST 2024","passed","Tue Dec 24 13:06:22 IST 2024","","tests-examples\HardAssertions.spec.js","",""
"","2336","should allow me to mark all items as completed","chromium","Tue Dec 24 13:04:30 IST 2024","passed","Tue Dec 24 13:04:32 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","30030","DropDown","webkit","Tue Dec 24 13:08:00 IST 2024","broken","Tue Dec 24 13:08:30 IST 2024","","tests-examples\dropDown.spec.js","",""
"","30091","Bootstrap Multi Dropdown","chromium","Tue Dec 24 13:04:14 IST 2024","broken","Tue Dec 24 13:04:44 IST 2024","","tests-examples\bootstrapDropdown.spec.js","",""
"","12057","test","webkit","Tue Dec 24 13:08:34 IST 2024","passed","Tue Dec 24 13:08:46 IST 2024","","tests-examples\myTest.spec.js","",""
"","5320","get started link","chromium","Tue Dec 24 13:04:08 IST 2024","passed","Tue Dec 24 13:04:13 IST 2024","","example.spec.js","",""
"","2686","should be hidden when there are no items that are completed","webkit","Tue Dec 24 13:07:55 IST 2024","passed","Tue Dec 24 13:07:58 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","1306","should clear text input field when an item is added","webkit","Tue Dec 24 13:07:41 IST 2024","passed","Tue Dec 24 13:07:42 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","1288","should highlight the currently applied filter","chromium","Tue Dec 24 13:04:41 IST 2024","passed","Tue Dec 24 13:04:42 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2618","should allow me to display active items","firefox","Tue Dec 24 13:06:13 IST 2024","passed","Tue Dec 24 13:06:16 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","9472","Multi Dropdown","webkit","Tue Dec 24 13:08:35 IST 2024","passed","Tue Dec 24 13:08:44 IST 2024","","tests-examples\MultiDropdown.spec.js","",""
"","14412","Built in Locators","webkit","Tue Dec 24 13:07:31 IST 2024","passed","Tue Dec 24 13:07:45 IST 2024","","tests-examples\BuiltInLocators.spec.js","",""
"","30074","Radio and Checkbox Interaction","firefox","Tue Dec 24 13:07:05 IST 2024","broken","Tue Dec 24 13:07:35 IST 2024","","tests-examples\RadioBtn.spec.js","",""
"","4821","has title","firefox","Tue Dec 24 13:05:21 IST 2024","passed","Tue Dec 24 13:05:26 IST 2024","","example.spec.js","",""
"","0","Confirmation Dialog Alert with Ok and Cancel","webkit","Tue Dec 24 13:07:11 IST 2024","skipped","Tue Dec 24 13:07:11 IST 2024","","tests-examples\alert.spec.js","",""
"","1797","should allow me to un-mark items as complete","firefox","Tue Dec 24 13:06:03 IST 2024","passed","Tue Dec 24 13:06:04 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","18778","Learn CheckBoxes","webkit","Tue Dec 24 13:07:33 IST 2024","passed","Tue Dec 24 13:07:52 IST 2024","","tests-examples\checkBoxes.spec.js","",""
"","1245","should append new items to the bottom of the list","webkit","Tue Dec 24 13:07:42 IST 2024","passed","Tue Dec 24 13:07:43 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","2472","Home Page","webkit","Tue Dec 24 13:08:11 IST 2024","passed","Tue Dec 24 13:08:14 IST 2024","","tests-examples\HomePageTest.spec.js","",""
"","12511","Multi Dropdown","firefox","Tue Dec 24 13:06:57 IST 2024","passed","Tue Dec 24 13:07:09 IST 2024","","tests-examples\MultiDropdown.spec.js","",""
"","3185","should respect the back button","firefox","Tue Dec 24 13:06:13 IST 2024","passed","Tue Dec 24 13:06:17 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2860","should allow me to display active items","webkit","Tue Dec 24 13:07:56 IST 2024","passed","Tue Dec 24 13:07:59 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","14390","Inout Box and learn Radio btn","chromium","Tue Dec 24 13:04:52 IST 2024","passed","Tue Dec 24 13:05:06 IST 2024","","tests-examples\inputBox.spec.js","",""
"","1589","should allow me to mark all items as completed","webkit","Tue Dec 24 13:07:43 IST 2024","passed","Tue Dec 24 13:07:45 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","17382","Locators :","webkit","Tue Dec 24 13:08:32 IST 2024","passed","Tue Dec 24 13:08:49 IST 2024","","tests-examples\Locators.spec.js","",""
"","2278","should display the current number of todo items","firefox","Tue Dec 24 13:06:08 IST 2024","passed","Tue Dec 24 13:06:11 IST 2024","Counter","tests-examples\demo-todo-app.spec.js","",""
"","2382","should highlight the currently applied filter","firefox","Tue Dec 24 13:06:17 IST 2024","passed","Tue Dec 24 13:06:19 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","12306","Auto suggest Dropdown","firefox","Tue Dec 24 13:05:33 IST 2024","passed","Tue Dec 24 13:05:45 IST 2024","","tests-examples\autoSuggestDropdown.spec.js","",""
"","30026","Bootstrap Multi Dropdown","webkit","Tue Dec 24 13:07:19 IST 2024","broken","Tue Dec 24 13:07:49 IST 2024","","tests-examples\bootstrapDropdown.spec.js","",""
"","1546","should allow me to clear the complete state of all items","firefox","Tue Dec 24 13:05:59 IST 2024","passed","Tue Dec 24 13:06:00 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","979","should be hidden when there are no items that are completed","chromium","Tue Dec 24 13:04:38 IST 2024","passed","Tue Dec 24 13:04:39 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","2542","should allow me to add todo items","firefox","Tue Dec 24 13:05:52 IST 2024","passed","Tue Dec 24 13:05:54 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","30040","Inout Box and learn Radio btn","firefox","Tue Dec 24 13:06:31 IST 2024","broken","Tue Dec 24 13:07:02 IST 2024","","tests-examples\inputBox.spec.js","",""
"","2769","should remove completed items when clicked","firefox","Tue Dec 24 13:06:11 IST 2024","passed","Tue Dec 24 13:06:13 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","1887","should hide other controls when editing","firefox","Tue Dec 24 13:06:04 IST 2024","passed","Tue Dec 24 13:06:06 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","1496","Home Page","chromium","Tue Dec 24 13:04:50 IST 2024","passed","Tue Dec 24 13:04:52 IST 2024","","tests-examples\HomePageTest.spec.js","",""
"","2493","should save edits on blur","firefox","Tue Dec 24 13:06:06 IST 2024","passed","Tue Dec 24 13:06:08 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","2335","should allow me to un-mark items as complete","chromium","Tue Dec 24 13:04:34 IST 2024","passed","Tue Dec 24 13:04:36 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","1080","should persist its data","chromium","Tue Dec 24 13:04:39 IST 2024","passed","Tue Dec 24 13:04:40 IST 2024","Persistence","tests-examples\demo-todo-app.spec.js","",""
"","1799","should display the current number of todo items","webkit","Tue Dec 24 13:07:53 IST 2024","passed","Tue Dec 24 13:07:55 IST 2024","Counter","tests-examples\demo-todo-app.spec.js","",""
"","2388","Home Page","firefox","Tue Dec 24 13:06:29 IST 2024","passed","Tue Dec 24 13:06:31 IST 2024","","tests-examples\HomePageTest.spec.js","",""
"","6350","get started link","firefox","Tue Dec 24 13:05:25 IST 2024","passed","Tue Dec 24 13:05:31 IST 2024","","example.spec.js","",""
"","0","Alert with Ok","firefox","Tue Dec 24 13:05:22 IST 2024","skipped","Tue Dec 24 13:05:22 IST 2024","","tests-examples\alert.spec.js","",""
"","2331","should trim entered text","webkit","Tue Dec 24 13:07:51 IST 2024","passed","Tue Dec 24 13:07:53 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","5020","Locating Multiple Elements","firefox","Tue Dec 24 13:06:49 IST 2024","passed","Tue Dec 24 13:06:54 IST 2024","","tests-examples\LocatingMultipleElements.spec.js","",""
"","4944","Assertions cases","firefox","Tue Dec 24 13:05:29 IST 2024","passed","Tue Dec 24 13:05:34 IST 2024","","tests-examples\Assertions.spec.js","",""
"","17381","Prompt with Ok and Cancel for test","chromium","Tue Dec 24 13:04:08 IST 2024","passed","Tue Dec 24 13:04:25 IST 2024","","tests-examples\alert.spec.js","",""
"","1280","should allow me to display all items","chromium","Tue Dec 24 13:04:41 IST 2024","passed","Tue Dec 24 13:04:42 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2132","should clear text input field when an item is added","chromium","Tue Dec 24 13:04:29 IST 2024","passed","Tue Dec 24 13:04:31 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","1070","should cancel edits on escape","chromium","Tue Dec 24 13:04:37 IST 2024","passed","Tue Dec 24 13:04:38 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","30014","Interact with an anchor inside an iframe","webkit","Tue Dec 24 13:08:01 IST 2024","broken","Tue Dec 24 13:08:31 IST 2024","","tests-examples\findQuickData.spec.js","",""
"","1953","should allow me to edit an item","webkit","Tue Dec 24 13:07:49 IST 2024","passed","Tue Dec 24 13:07:51 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","7963","test","firefox","Tue Dec 24 13:06:55 IST 2024","passed","Tue Dec 24 13:07:03 IST 2024","","tests-examples\myTest.spec.js","",""
"","18847","Learn CheckBoxes","firefox","Tue Dec 24 13:05:48 IST 2024","passed","Tue Dec 24 13:06:06 IST 2024","","tests-examples\checkBoxes.spec.js","",""
"","2473","should remove the item if an empty text string was entered","webkit","Tue Dec 24 13:07:52 IST 2024","passed","Tue Dec 24 13:07:55 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","1872","should allow me to clear the complete state of all items","webkit","Tue Dec 24 13:07:45 IST 2024","passed","Tue Dec 24 13:07:47 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","30027","DropDown","chromium","Tue Dec 24 13:04:42 IST 2024","broken","Tue Dec 24 13:05:12 IST 2024","","tests-examples\dropDown.spec.js","",""
"","938","should remove completed items when clicked","chromium","Tue Dec 24 13:04:38 IST 2024","passed","Tue Dec 24 13:04:39 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","0","Confirmation Dialog Alert with Ok and Cancel","firefox","Tue Dec 24 13:05:22 IST 2024","skipped","Tue Dec 24 13:05:22 IST 2024","","tests-examples\alert.spec.js","",""
"","4510","Assertions cases","chromium","Tue Dec 24 13:04:08 IST 2024","passed","Tue Dec 24 13:04:13 IST 2024","","tests-examples\Assertions.spec.js","",""
"","2491","should persist its data","webkit","Tue Dec 24 13:07:55 IST 2024","passed","Tue Dec 24 13:07:58 IST 2024","Persistence","tests-examples\demo-todo-app.spec.js","",""
"","5379","get started link","webkit","Tue Dec 24 13:07:12 IST 2024","passed","Tue Dec 24 13:07:17 IST 2024","","example.spec.js","",""
"","30047","How to handle hidden items in dropdown","firefox","Tue Dec 24 13:06:22 IST 2024","broken","Tue Dec 24 13:06:52 IST 2024","","tests-examples\hiddenDropdown.spec.js","",""
"","6977","Assertions cases","webkit","Tue Dec 24 13:07:12 IST 2024","passed","Tue Dec 24 13:07:19 IST 2024","","tests-examples\Assertions.spec.js","",""
"","10076","Handle Frames","webkit","Tue Dec 24 13:08:01 IST 2024","passed","Tue Dec 24 13:08:11 IST 2024","","tests-examples\handleFrames.spec.js","",""
"","1522","should allow me to display completed items","chromium","Tue Dec 24 13:04:40 IST 2024","passed","Tue Dec 24 13:04:42 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","2139","should save edits on blur","webkit","Tue Dec 24 13:07:50 IST 2024","passed","Tue Dec 24 13:07:52 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","1261","should allow me to display active items","chromium","Tue Dec 24 13:04:39 IST 2024","passed","Tue Dec 24 13:04:41 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","851","should display the current number of todo items","chromium","Tue Dec 24 13:04:38 IST 2024","passed","Tue Dec 24 13:04:38 IST 2024","Counter","tests-examples\demo-todo-app.spec.js","",""
"","1070","should save edits on blur","chromium","Tue Dec 24 13:04:36 IST 2024","passed","Tue Dec 24 13:04:37 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","30021","How to handle hidden items in dropdown","webkit","Tue Dec 24 13:08:03 IST 2024","broken","Tue Dec 24 13:08:33 IST 2024","","tests-examples\hiddenDropdown.spec.js","",""
"","2426","should be hidden when there are no items that are completed","firefox","Tue Dec 24 13:06:11 IST 2024","passed","Tue Dec 24 13:06:13 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
"","3212","should allow me to add todo items","chromium","Tue Dec 24 13:04:27 IST 2024","passed","Tue Dec 24 13:04:30 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","1984","should append new items to the bottom of the list","chromium","Tue Dec 24 13:04:30 IST 2024","passed","Tue Dec 24 13:04:32 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
